player,score
Loy Vaught,1911.9230769230767
Sam Bowie,1911.75
Ervin Johnson,1911.538461538462
Alex Len,1911.1666666666665
George Johnson,1910.8236714975844
Josh Richardson,1910.0714285714287
Tom Henderson,1909.7272727272725
Nate Robinson,1909.264705882353
Bob Sura,1908.8749999999998
Phil Jackson,1907.0
Tom McMillen,1904.6153846153845
Ed Davis,1903.7142857142858
Sean Rooks,1900.875
Aaron Williams,1899.625
Chris Andersen,1899.2058823529414
Morris Peterson,1895.7727272727275
Joe Meriweather,1895.5416666666665
Chucky Brown,1891.4285714285713
Darrell Walker,1890.958333333333
Mark Bryant,1889.5277777777778
Mario Elie,1888.4615384615383
Otto Moore,1886.8557692307693
Kent Bazemore,1885.9285714285713
Chris Wilcox,1884.1666666666665
Othella Harrington,1883.357142857143
Lucious Harris,1880.0
Malik Beasley,1879.1153846153848
Allen Leavell,1879.0
John Salley,1877.3076923076924
Kevin Ollie,1876.913043478261
Otto Porter Jr.,1875.3333333333335
Carl Landry,1873.230769230769
Eddie House,1873.15625
Terry Teagle,1868.3846153846157
Craig Hodges,1868.2142857142858
Ron Brewer,1867.25
Jeff Foster,1866.5
Jerryd Bayless,1866.3333333333333
Collin Sexton,1866.0714285714284
Jay Vincent,1864.653846153846
Charlie Villanueva,1859.8636363636363
Dee Brown,1859.5833333333333
Trent Tucker,1859.181818181818
Kyle Anderson,1857.653846153846
